episode,timestep,reward,ep_length,elapsed_s,algo
481,107322,212.692,104,83.6,dqn
482,107393,-47.041,71,83.7,dqn
483,107490,212.896,97,83.8,dqn
484,107585,212.814,95,83.8,dqn
485,107698,213.324,113,83.9,dqn
486,107813,213.635,115,84.0,dqn
487,107940,223.998,127,84.1,dqn
488,108020,-46.886,80,84.2,dqn
489,108110,212.699,90,84.3,dqn
490,108183,-47.726,73,84.4,dqn
491,108294,212.719,111,84.5,dqn
492,108386,212.71,92,84.5,dqn
493,108473,212.791,87,84.6,dqn
494,108567,212.607,94,84.7,dqn
495,108665,213.146,98,84.8,dqn
496,108759,213.242,94,84.9,dqn
497,108856,212.711,97,84.9,dqn
498,108961,212.278,105,85.0,dqn
499,109065,212.869,104,85.1,dqn
500,109160,212.654,95,85.2,dqn
501,109275,212.778,115,85.3,dqn
502,109361,-48.002,86,85.4,dqn
503,109514,209.906,153,85.5,dqn
504,109619,212.398,105,85.7,dqn
505,109704,-46.759,85,85.7,dqn
506,109793,212.731,89,85.8,dqn
507,109881,-46.554,88,85.9,dqn
508,109983,212.781,102,86.0,dqn
509,110109,-46.844,126,86.1,dqn
510,110201,212.581,92,86.2,dqn
511,110273,-47.351,72,86.2,dqn
512,110347,-47.233,74,86.3,dqn
513,110441,212.916,94,86.4,dqn
514,110562,212.55,121,86.5,dqn
515,110674,213.068,112,86.6,dqn
516,110806,213.614,132,86.7,dqn
517,110902,213.369,96,86.8,dqn
518,111014,212.624,112,86.9,dqn
519,111148,-37.876,134,87.0,dqn
520,111242,212.769,94,87.1,dqn
521,111349,213.232,107,87.2,dqn
522,111448,213.059,99,87.3,dqn
523,111544,213.166,96,87.3,dqn
524,111656,213.323,112,87.5,dqn
525,111803,210.828,147,87.6,dqn
526,111912,191.862,109,87.7,dqn
527,112079,208.699,167,87.9,dqn
528,112185,212.681,106,88.0,dqn
529,112283,213.072,98,88.1,dqn
530,112378,213.032,95,88.2,dqn
531,112468,212.681,90,88.3,dqn
532,112560,-47.977,92,88.4,dqn
533,112644,-46.908,84,88.5,dqn
534,112743,212.922,99,88.5,dqn
535,112856,212.915,113,88.7,dqn
536,112955,212.68,99,88.8,dqn
537,113057,212.853,102,88.9,dqn
538,113155,212.52,98,89.0,dqn
539,113249,191.924,94,89.0,dqn
540,113343,212.67,94,89.1,dqn
541,113436,192.116,93,89.2,dqn
542,113532,192.139,96,89.3,dqn
543,113621,191.974,89,89.4,dqn
544,113710,-47.189,89,89.4,dqn
545,113803,212.662,93,89.5,dqn
546,113907,212.469,104,89.6,dqn
547,114019,212.864,112,89.7,dqn
548,114050,-89.035,31,89.7,dqn
549,114146,212.711,96,89.8,dqn
550,114246,213.093,100,89.9,dqn
551,114336,212.584,90,90.0,dqn
552,114450,212.883,114,90.1,dqn
553,114527,-47.651,77,90.2,dqn
554,114605,-47.42,78,90.3,dqn
555,114700,212.887,95,90.4,dqn
556,114832,213.071,132,90.5,dqn
557,114930,212.822,98,90.6,dqn
558,115026,212.721,96,90.6,dqn
559,115124,212.606,98,90.7,dqn
560,115223,212.824,99,90.8,dqn
561,115336,212.436,113,90.9,dqn
562,115431,212.798,95,91.0,dqn
563,115524,212.692,93,91.1,dqn
564,115672,210.18,148,91.2,dqn
565,115849,-51.382,177,91.3,dqn
566,115963,211.992,114,91.4,dqn
567,116062,212.682,99,91.5,dqn
